va,pattern,insn,base_or_dst,vtable_load_va,receiver_reg,classification,evidence,arg2_push,arg2_class,literal_va
8230827,P3,"007D97AB  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007d97a9,ecx,INSUFFICIENT_PROOF,"field read 007D97A3  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8244517,P3,"007DCD25  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007dcd23,ecx,INSUFFICIENT_PROOF,"field read 007DCD1D  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8263159,P3,"007E15F7  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007e15f5,ecx,INSUFFICIENT_PROOF,"field read 007E15EF  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8269233,P3,"007E2DB1  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007e2daf,esi,INSUFFICIENT_PROOF,"stack read 007E2D95  8B 74 24 60               mov esi, dword ptr [esp + 0x60] ([esp+0x60] = parameter/local, not a container holder read)",,,
8274543,P3,"007E426F  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x007e4269,ecx,INSUFFICIENT_PROOF,"field read 007E4262  8B 4E 38                  mov ecx, dword ptr [esi + 0x38] (offset 0x38 not a known SF holder slot)",,,
8281992,P3,"007E5F88  8B 57 0C                  mov edx, dword ptr [edi + 0xc]",edi,0x007e5f85,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x7e5f75', '0x7e5f7c']",,,
8285315,P3,"007E6C83  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x007e6c81,ecx,INSUFFICIENT_PROOF,"field read 007E6C72  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8285354,P3,"007E6CAA  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x007e6ca8,ecx,INSUFFICIENT_PROOF,"reg copy 007E6C91  8B CE                     mov ecx, esi then L2 unresolved: AMBIGUOUS: multiple chains disagree on def of esi at ['0x7e6c61', '0x7e6c7b']",,,
8285409,P3,"007E6CE1  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x007e6cbf,ecx,INSUFFICIENT_PROOF,"reg copy 007E6CD6  8B CE                     mov ecx, esi then L2 unresolved: no def of esi in any backward chain (parameter/incoming)",,,
8296080,P3,"007E9690  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007e966e,ecx,INSUFFICIENT_PROOF,"field read 007E9688  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8314995,P3,"007EE073  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x007ee055,ecx,INSUFFICIENT_PROOF,"field read 007EE068  8B 8B 60 01 00 00         mov ecx, dword ptr [ebx + 0x160] (offset 0x160 not a known SF holder slot)",,,
8330056,P3,"007F1B48  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1b46,esi,INSUFFICIENT_PROOF,"stack read 007F1B42  8B 74 24 10               mov esi, dword ptr [esp + 0x10] ([esp+0x10] = parameter/local, not a container holder read)",,,
8330073,P3,"007F1B59  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1b46,esi,INSUFFICIENT_PROOF,"stack read 007F1B42  8B 74 24 10               mov esi, dword ptr [esp + 0x10] ([esp+0x10] = parameter/local, not a container holder read)",,,
8330128,P3,"007F1B90  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007f1b8e,edi,INSUFFICIENT_PROOF,def form POP: 007F1B8A  5F                        pop edi,,,
8330140,P3,"007F1B9C  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x007f1b8e,edi,INSUFFICIENT_PROOF,def form POP: 007F1B8A  5F                        pop edi,,,
8330200,P3,"007F1BD8  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1bd6,esi,INSUFFICIENT_PROOF,"stack read 007F1BD2  8B 74 24 10               mov esi, dword ptr [esp + 0x10] ([esp+0x10] = parameter/local, not a container holder read)",,,
8330217,P3,"007F1BE9  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1bd6,esi,INSUFFICIENT_PROOF,"stack read 007F1BD2  8B 74 24 10               mov esi, dword ptr [esp + 0x10] ([esp+0x10] = parameter/local, not a container holder read)",,,
8330297,P3,"007F1C39  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1c37,edi,INSUFFICIENT_PROOF,def form POP: 007F1C33  5F                        pop edi,,,
8330309,P3,"007F1C45  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1c37,edi,INSUFFICIENT_PROOF,def form POP: 007F1C33  5F                        pop edi,,,
8330391,P3,"007F1C97  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1c95,esi,INSUFFICIENT_PROOF,"stack read 007F1C91  8B 74 24 0C               mov esi, dword ptr [esp + 0xc] ([esp+0xc] = parameter/local, not a container holder read)",,,
8330455,P3,"007F1CD7  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1cd5,esi,INSUFFICIENT_PROOF,"stack read 007F1CD1  8B 74 24 0C               mov esi, dword ptr [esp + 0xc] ([esp+0xc] = parameter/local, not a container holder read)",,,
8330611,P3,"007F1D73  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x007f1d71,ecx,REJECTED_NOT_SF,"receiver = `this` of enclosing method 0x007f1d70 = vtable slot 1 of RTTI class .?AVNiBoundingVolume@@ (its this is a .?AVNiBoundingVolume@@, not an SF) (no def of ecx in window — incoming this)",,,
8407320,P3,"00804918  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00804916,ecx,INSUFFICIENT_PROOF,"+0x30 read 00804908  8B 4E 30                  mov ecx, dword ptr [esi + 0x30] (NiNode-link domain only if base is SF; not proven within bound)",,,
8407329,P3,"00804921  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00804916,ecx,INSUFFICIENT_PROOF,"+0x30 read 00804908  8B 4E 30                  mov ecx, dword ptr [esi + 0x30] (NiNode-link domain only if base is SF; not proven within bound)",,,
8408553,P3,"00804DE9  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00804de7,ecx,INSUFFICIENT_PROOF,"field read 00804DD8  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8408586,P3,"00804E0A  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x00804df6,ecx,INSUFFICIENT_PROOF,"+0x30 read 00804DF3  8B 4E 30                  mov ecx, dword ptr [esi + 0x30] (NiNode-link domain only if base is SF; not proven within bound)",,,
8415485,P3,"008068FD  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008068fa,esi,INSUFFICIENT_PROOF,def form POP: 008068F0  5E                        pop esi,,,
8420164,P3,"00807B44  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x00807b42,ecx,INSUFFICIENT_PROOF,"field read 00807B3C  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
8430108,P3,"0080A21C  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x0080a21a,ecx,INSUFFICIENT_PROOF,"field read 0080A210  8B 8E 1C 01 00 00         mov ecx, dword ptr [esi + 0x11c] (offset 0x11c not a known SF holder slot)",,,
8442112,P3,"0080D100  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0080d0fe,ecx,INSUFFICIENT_PROOF,"field read 0080D0F4  8B 8E 68 01 00 00         mov ecx, dword ptr [esi + 0x168] (offset 0x168 not a known SF holder slot)",,,
8485413,P3,"00817A25  8B 47 0C                  mov eax, dword ptr [edi + 0xc]",edi,0x008179fd,eax,INSUFFICIENT_PROOF,no def of eax in any backward chain (parameter/incoming),,,
8532558,P3,"0082324E  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0082324c,ecx,INSUFFICIENT_PROOF,"field read 00823246  8B 0E                     mov ecx, dword ptr [esi] (offset 0x0 not a known SF holder slot)",,,
8580428,P3,"0082ED4C  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0082ed36,ecx,INSUFFICIENT_PROOF,"reg copy 0082ED2C  8B C8                     mov ecx, eax then L2 unresolved: AMBIGUOUS: multiple chains disagree on def of eax at ['0x82ed20', '0x82ed27', '0x82ed29']",,,
8584409,P3,"0082FCD9  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0082fcd7,ecx,INSUFFICIENT_PROOF,"field read 0082FCD1  8B 8E 58 11 00 00         mov ecx, dword ptr [esi + 0x1158] (offset 0x1158 not a known SF holder slot)",,,
8753035,P3,"00858F8B  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00858f7b,ecx,INSUFFICIENT_PROOF,"field read 00858F82  8B 4E 3C                  mov ecx, dword ptr [esi + 0x3c] (offset 0x3c not a known SF holder slot)",,,
8805007,P3,"00865A8F  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00865a6d,edi,INSUFFICIENT_PROOF,no def of edi in any backward chain (parameter/incoming),,,
8806044,P3,"00865E9C  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00865e9a,ecx,INSUFFICIENT_PROOF,"field read 00865E94  8B 0F                     mov ecx, dword ptr [edi] (offset 0x0 not a known SF holder slot)",,,
8812882,P3,"00867952  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00867950,ecx,INSUFFICIENT_PROOF,"absolute memory read 00867946  8B 0D B8 35 BA 00         mov ecx, dword ptr [0xba35b8]",,,
8917523,P3,"00881213  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00881211,ecx,INSUFFICIENT_PROOF,"field read 0088120E  8B 49 68                  mov ecx, dword ptr [ecx + 0x68] (offset 0x68 not a known SF holder slot)",,,
9023564,P3,"0089B04C  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x0089b044,ecx,INSUFFICIENT_PROOF,"field read 0089B03E  8B 8E 8C 00 00 00         mov ecx, dword ptr [esi + 0x8c] (offset 0x8c not a known SF holder slot)",,,
9160459,P3,"008BC70B  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008bc6ff,eax,INSUFFICIENT_PROOF,"field read 008BC6F5  8B 46 08                  mov eax, dword ptr [esi + 8] (offset 0x8 not a known SF holder slot)",,,
9161113,P3,"008BC999  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008bc989,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x8bc983', '0x8bc986']",,,
9165385,P3,"008BDA49  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x008bda2e,eax,INSUFFICIENT_PROOF,"field read 008BDA44  8B 46 0C                  mov eax, dword ptr [esi + 0xc] (offset 0xc in B.3 generic holder set; container identity not provable within bound)",,,
9168239,P3,"008BE56F  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008be56c,ecx,INSUFFICIENT_PROOF,"field read 008BE540  8B 4E 14                  mov ecx, dword ptr [esi + 0x14] (offset 0x14 in B.3 generic holder set; container identity not provable within bound)",,,
9172910,P3,"008BF7AE  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008bf7a3,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x8bf7a0', '0x8bf7ab']",,,
9173038,P3,"008BF82E  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008bf823,eax,INSUFFICIENT_PROOF,"field read 008BF820  8B 46 0C                  mov eax, dword ptr [esi + 0xc] (offset 0xc in B.3 generic holder set; container identity not provable within bound)",,,
9173170,P3,"008BF8B2  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008bf8a7,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x8bf8a4', '0x8bf8af']",,,
9183280,P3,"008C2030  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c202e,ecx,INSUFFICIENT_PROOF,"field read 008C2028  8B 8E D0 02 00 00         mov ecx, dword ptr [esi + 0x2d0] (offset 0x2d0 not a known SF holder slot)",,,
9184784,P3,"008C2610  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008c260c,eax,INSUFFICIENT_PROOF,"stack read 008C25F1  8B 45 00                  mov eax, dword ptr [ebp] ([ebp+0x0] = parameter/local, not a container holder read)",,,
9187034,P3,"008C2EDA  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c2ed8,esi,INSUFFICIENT_PROOF,"field read 008C2ECE  8B 71 08                  mov esi, dword ptr [ecx + 8] (offset 0x8 not a known SF holder slot)",,,
9187086,P3,"008C2F0E  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c2f0c,esi,INSUFFICIENT_PROOF,"def form OTHER: 008C2EF1  0B 31                     or esi, dword ptr [ecx]",,,
9187328,P3,"008C3000  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c2ffe,esi,INSUFFICIENT_PROOF,"field read 008C2FF4  8B 71 08                  mov esi, dword ptr [ecx + 8] (offset 0x8 not a known SF holder slot)",,,
9187380,P3,"008C3034  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c3032,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
9187557,P3,"008C30E5  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c30e3,esi,INSUFFICIENT_PROOF,"field read 008C30D5  8B 71 08                  mov esi, dword ptr [ecx + 8] (offset 0x8 not a known SF holder slot)",,,
9187600,P3,"008C3110  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c30e3,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
9196280,P3,"008C52F8  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008c52f6,ebx,INSUFFICIENT_PROOF,"field read 008C52E4  8B 5B 04                  mov ebx, dword ptr [ebx + 4] (offset 0x4 in B.3 generic holder set; container identity not provable within bound)",,,
9197345,P3,"008C5721  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x008c571f,ecx,INSUFFICIENT_PROOF,no def of ecx in any backward chain (parameter/incoming),,,
9198181,P3,"008C5A65  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c5a63,esi,INSUFFICIENT_PROOF,"reg copy 008C5A61  8B F1                     mov esi, ecx then L2 unresolved: field read 008C5A46  8B 48 08                  mov ecx, dword ptr [eax + 8] (offset 0x8 not a known SF holder slot)",,,
9200733,P3,"008C645D  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x008c645b,ecx,INSUFFICIENT_PROOF,"field read 008C6443  8B 8E D8 00 00 00         mov ecx, dword ptr [esi + 0xd8] (offset 0xd8 not a known SF holder slot)",,,
9201914,P3,"008C68FA  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x008c68f8,ecx,INSUFFICIENT_PROOF,"field read 008C68E0  8B 8E D8 00 00 00         mov ecx, dword ptr [esi + 0xd8] (offset 0xd8 not a known SF holder slot)",,,
9202003,P3,"008C6953  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c6946,ecx,INSUFFICIENT_PROOF,"field read 008C6940  8B 8E D8 00 00 00         mov ecx, dword ptr [esi + 0xd8] (offset 0xd8 not a known SF holder slot)",,,
9203062,P3,"008C6D76  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c6d74,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
9203259,P3,"008C6E3B  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008c6e34,eax,INSUFFICIENT_PROOF,"field read 008C6E32  8B 07                     mov eax, dword ptr [edi] (offset 0x0 not a known SF holder slot)",,,
9203310,P3,"008C6E6E  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008c6e6c,esi,INSUFFICIENT_PROOF,"def form IMM: 008C6E45  BE C5 00 00 00            mov esi, 0xc5",,,
9204725,P3,"008C73F5  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c73f3,esi,INSUFFICIENT_PROOF,"reg copy 008C73F1  8B F1                     mov esi, ecx then L2 unresolved: def form OTHER: 008C73C4  41                        inc ecx",,,
9204806,P3,"008C7446  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c7444,esi,INSUFFICIENT_PROOF,"reg copy 008C7442  8B F1                     mov esi, ecx then L2 unresolved: reg copy 008C7420  8B CE                     mov ecx, esi at bound limit (2 levels)",,,
9207420,P3,"008C7E7C  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c7e7a,ecx,INSUFFICIENT_PROOF,"field read 008C7E71  8B 4E 24                  mov ecx, dword ptr [esi + 0x24] (offset 0x24 not a known SF holder slot)",,,
9207634,P3,"008C7F52  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c7f50,ecx,INSUFFICIENT_PROOF,"field read 008C7F49  8B 4E 24                  mov ecx, dword ptr [esi + 0x24] (offset 0x24 not a known SF holder slot)",,,
9209951,P3,"008C885F  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008c8840,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x8c883c', '0x8c8853']",,,
9210600,P3,"008C8AE8  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008c8ae0,eax,INSUFFICIENT_PROOF,"field read 008C8ADD  8B 47 0C                  mov eax, dword ptr [edi + 0xc] (offset 0xc in B.3 generic holder set; container identity not provable within bound)",,,
9211093,P3,"008C8CD5  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c8cd3,esi,INSUFFICIENT_PROOF,"reg copy 008C8CD1  8B F1                     mov esi, ecx then L2 unresolved: def form OTHER: 008C8CA4  41                        inc ecx",,,
9213633,P3,"008C96C1  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008c96b6,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x8c96b3', '0x8c96b4']",,,
9213842,P3,"008C9792  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008c9787,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x8c9784', '0x8c9785']",,,
9214384,P3,"008C99B0  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c99a3,esi,INSUFFICIENT_PROOF,"reg copy 008C99A1  8B F1                     mov esi, ecx then L2 unresolved: reg copy 008C9983  8B CE                     mov ecx, esi at bound limit (2 levels)",,,
9214964,P3,"008C9BF4  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c9bd6,eax,INSUFFICIENT_PROOF,"field read 008C9BF2  8B 06                     mov eax, dword ptr [esi] (offset 0x0 not a known SF holder slot)",,,
9215365,P3,"008C9D85  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008c9d83,esi,INSUFFICIENT_PROOF,"reg copy 008C9D81  8B F1                     mov esi, ecx then L2 unresolved: def form OTHER: 008C9D54  41                        inc ecx",,,
9216710,P3,"008CA2C6  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008ca2a8,eax,INSUFFICIENT_PROOF,"field read 008CA2C4  8B 07                     mov eax, dword ptr [edi] (offset 0x0 not a known SF holder slot)",,,
9216757,P3,"008CA2F5  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008ca2ef,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x8ca2eb', '0x8ca2ed']",,,
9216768,P3,"008CA300  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008ca2ef,eax,INSUFFICIENT_PROOF,receiver = result of call 008CA2F8  FF D0                     call eax (target ? not the SF ctor; result class unproven),,,
9217174,P3,"008CA496  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008ca494,esi,INSUFFICIENT_PROOF,"reg copy 008CA492  8B F1                     mov esi, ecx then L2 unresolved: def form OTHER: 008CA464  41                        inc ecx",,,
9235547,P3,"008CEC5B  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008cec57,eax,INSUFFICIENT_PROOF,"stack read 008CEC30  8B 45 00                  mov eax, dword ptr [ebp] ([ebp+0x0] = parameter/local, not a container holder read)",,,
9235644,P3,"008CECBC  8B 41 0C                  mov eax, dword ptr [ecx + 0xc]",ecx,0x008cec9a,eax,INSUFFICIENT_PROOF,"field read 008CEC90  8B 01                     mov eax, dword ptr [ecx] (offset 0x0 not a known SF holder slot)",,,
9238418,P3,"008CF792  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x008cf790,ecx,INSUFFICIENT_PROOF,"field read 008CF78D  8B 4E 54                  mov ecx, dword ptr [esi + 0x54] (offset 0x54 not a known SF holder slot)",,,
9269638,P3,"008D7186  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x008d716d,ecx,INSUFFICIENT_PROOF,no def of ecx in any backward chain (parameter/incoming),,,
9646097,P3,"00933011  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x0093300f,ecx,INSUFFICIENT_PROOF,"field read 00933008  8B 4F 04                  mov ecx, dword ptr [edi + 4] (offset 0x4 in B.3 generic holder set; container identity not provable within bound)",,,
9647743,P3,"0093367F  8B 51 0C                  mov edx, dword ptr [ecx + 0xc]",ecx,0x0093367d,eax,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of eax at ['0x93367a', '0x93367b']",,,
9705775,P3,"0094192F  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00941929,ecx,INSUFFICIENT_PROOF,"field read 00941926  8B 4B 0C                  mov ecx, dword ptr [ebx + 0xc] (offset 0xc in B.3 generic holder set; container identity not provable within bound)",,,
9707547,P3,"0094201B  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00942019,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x942013', '0x942016']",,,
9709421,P3,"0094276D  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00942768,ecx,INSUFFICIENT_PROOF,"field read 00942762  8B 4E 0C                  mov ecx, dword ptr [esi + 0xc] (offset 0xc in B.3 generic holder set; container identity not provable within bound)",,,
9746490,P3,"0094B83A  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0094b838,ecx,INSUFFICIENT_PROOF,"field read 0094B836  8B 0F                     mov ecx, dword ptr [edi] (offset 0x0 not a known SF holder slot)",,,
9941118,P3,"0097B07E  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0097b07c,ecx,INSUFFICIENT_PROOF,"field read 0097B076  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
9952174,P3,"0097DBAE  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0097dbac,ecx,INSUFFICIENT_PROOF,"field read 0097DBA6  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
9954446,P3,"0097E48E  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0097e48c,ecx,INSUFFICIENT_PROOF,"field read 0097E486  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
9956350,P3,"0097EBFE  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x0097ebfc,ecx,INSUFFICIENT_PROOF,"field read 0097EBF6  8B 8F 60 01 00 00         mov ecx, dword ptr [edi + 0x160] (offset 0x160 not a known SF holder slot)",,,
9960277,P3,"0097FB55  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x0097fb53,ecx,INSUFFICIENT_PROOF,"field read 0097FB4C  8B 4E 48                  mov ecx, dword ptr [esi + 0x48] (offset 0x48 not a known SF holder slot)",,,
9962793,P3,"00980529  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00980527,ecx,INSUFFICIENT_PROOF,"field read 00980524  8B 4F 50                  mov ecx, dword ptr [edi + 0x50] (offset 0x50 not a known SF holder slot)",,,
9964426,P3,"00980B8A  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00980b88,ecx,INSUFFICIENT_PROOF,"field read 00980B85  8B 4F 50                  mov ecx, dword ptr [edi + 0x50] (offset 0x50 not a known SF holder slot)",,,
9966076,P3,"009811FC  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x009811fa,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x9811f3', '0x9811f7']",,,
9967685,P3,"00981845  8B 50 0C                  mov edx, dword ptr [eax + 0xc]",eax,0x00981843,ecx,INSUFFICIENT_PROOF,"field read 0098183C  8B 4F 44                  mov ecx, dword ptr [edi + 0x44] (offset 0x44 not a known SF holder slot)",,,
9978566,P3,"009842C6  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x009842c4,ecx,INSUFFICIENT_PROOF,"field read 009842BD  8B 4F 50                  mov ecx, dword ptr [edi + 0x50] (offset 0x50 not a known SF holder slot)",,,
9978618,P3,"009842FA  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x009842df,ecx,INSUFFICIENT_PROOF,"field read 009842F1  8B 4F 54                  mov ecx, dword ptr [edi + 0x54] (offset 0x54 not a known SF holder slot)",,,
9981249,P3,"00984D41  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x00984d3f,ecx,INSUFFICIENT_PROOF,"field read 00984D3C  8B 4E 4C                  mov ecx, dword ptr [esi + 0x4c] (offset 0x4c not a known SF holder slot)",,,
9983636,P3,"00985694  8B 42 0C                  mov eax, dword ptr [edx + 0xc]",edx,0x0098568c,ecx,INSUFFICIENT_PROOF,"field read 00985686  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
9993523,P3,"00987D33  8B 52 0C                  mov edx, dword ptr [edx + 0xc]",edx,0x00987d03,esi,INSUFFICIENT_PROOF,no def of esi in any backward chain (parameter/incoming),,,
9994077,P3,"00987F5D  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00987f5b,ecx,INSUFFICIENT_PROOF,"field read 00987F46  8B 8E 60 01 00 00         mov ecx, dword ptr [esi + 0x160] (offset 0x160 not a known SF holder slot)",,,
9994127,P3,"00987F8F  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00987f70,ebx,INSUFFICIENT_PROOF,no def of ebx in any backward chain (parameter/incoming),,,
9994224,P3,"00987FF0  8B 40 0C                  mov eax, dword ptr [eax + 0xc]",eax,0x00987fee,ecx,INSUFFICIENT_PROOF,"AMBIGUOUS: multiple chains disagree on def of ecx at ['0x987fd9', '0x987fe6']",,,
