a_value,hit,models_entry_index,models_offset,packed_size,template_ids,template_count
142860,True,296,63700925,16614,5138,1
143003,True,2524,265331710,26180,5144,1
143009,True,2525,265357890,42966,5145,1
143013,True,2526,265400856,42966,5146,1
143021,True,2527,265443822,49442,5147,1
143209,True,769,114070335,84318,5151,1
143357,True,3704,317720081,4896,16089,1
143570,True,754,113169782,20979,3743,1
146483,True,3520,293531016,315611,13550,1
146511,True,3533,295939355,68591,13562,1
146562,True,3562,301055583,105681,13719,1
146571,True,452,73633572,116071,5215,1
146634,True,453,73749643,440795,5217,1
146709,True,3534,296007946,41473,13738,1
146726,True,451,73628783,4789,5220,1
146746,True,3556,300219818,30498,13737,1
146800,True,444,73620689,1212,5222,1
146813,True,419,73585106,2189,5224,1
146826,True,420,73587295,1209,5226,1
146839,True,422,73589648,1489,5228,1
146852,True,423,73591137,1769,5230,1
146865,True,424,73592906,1209,5232,1
146878,True,430,73599835,1909,5234,1
146926,True,431,73601744,1209,5237,1
146940,True,432,73602953,1209,5239,1
146953,True,441,73613842,3029,5241,1
146967,True,442,73616871,2609,5243,1
146980,True,443,73619480,1209,5245,1
147126,True,3549,298956141,333145,13749,1
147158,True,3550,299289286,161169,13567,1
147231,True,3518,293095055,148833,13741,1
147470,True,3574,302690489,76004,13554,1
147486,True,3588,304876186,182866,13570,1
147502,True,3589,305059052,57984,13571,1
147553,True,3567,301799762,24906,13569,1
147588,True,1810,202494601,15338,5266,1
148520,True,288,62791779,297144,5283,1
153742,True,3700,317698238,6501,15323,1
155495,True,1848,203387487,32407,12181;12182;12183,3
156289,True,405,73223837,28153,3747,1
156318,True,404,73216635,7202,4293,1
156333,True,403,73215000,1635,4295,1
156350,True,402,73213377,1623,4297,1
156371,True,400,73210152,1611,4299,1
156388,True,401,73211763,1614,4304,1
156478,True,399,73208541,1611,4307,1
156495,True,398,73206930,1611,4309,1
156510,True,397,73205319,1611,4316,1
156725,True,316,67522814,1299,5414,1
156754,True,315,67521515,1299,5416,1
156769,True,317,67524113,1299,5418,1
156783,True,318,67525412,1299,5420,1
156797,True,314,67520219,1296,5422,1
156811,True,313,67518923,1296,5424,1
156827,True,396,73191018,14301,5426,1
157035,True,381,72899083,89217,5434,1
157055,True,383,73113038,1604,5436,1
158743,True,2364,257904139,6955,12004,1
159489,True,3623,312057009,75556,13767,1
159853,True,3699,317694252,3986,16098,1
165196,True,3200,284855210,39412,4668,1
165263,True,3201,284894622,40294,5533,1
165280,True,3202,284934916,49414,5535,1
165296,True,3203,284984330,29271,5551,1
165314,True,3204,285013601,29271,5553,1
165330,True,3205,285042872,32071,5557,1
165347,True,3206,285074943,32071,5568,1
165381,True,3208,285136285,66168,5572,1
165398,True,3209,285202453,43297,5574,1
165414,True,3210,285245750,32307,5576,1
165431,True,3211,285278057,24045,5578,1
165452,True,3382,291101720,120681,5580,1
165468,True,3383,291222401,119841,5582,1
165485,True,3384,291342242,129847,5584,1
166377,True,3029,278812595,18627,987,1
166405,True,3047,279142997,7313,1081,1
166421,True,3055,279232251,7313,1096,1
166705,True,2893,273371045,9727,1337,1
166723,True,2894,273380772,9511,1423,1
166741,True,2895,273390283,17767,1425,1
166758,True,2896,273408050,27443,1487,1
166774,True,2897,273435493,17771,1489,1
166790,True,2898,273453264,9637,1512,1
166806,True,2899,273462901,8204,1652,1
166823,True,2900,273471105,8204,1654,1
166864,True,2901,273479309,13533,1658,1
166878,True,2902,273492842,19474,1660,1
166897,True,2903,273512316,7044,2340,1
167130,True,2905,273566652,10498,1656,1
167211,True,2904,273519360,47292,3032,1
167222,True,2906,273577150,38166,3036,1
167237,True,2907,273615316,34410,3038,1
167252,True,2908,273649726,34410,3040,1
167267,True,2909,273684136,54290,3042,1
168082,True,822,119987118,89305,4341,1
168133,True,823,120076423,30519,4412,1
168157,True,824,120106942,24113,4414,1
168181,True,161,44299840,1169,4416,1
168195,True,1777,200697524,3273,4418,1
168211,True,1782,200735869,10088,4420,1
168227,True,1789,201193755,5362,4422,1
168244,True,1735,199617348,39457,4424,1
168262,True,1767,200435721,21902,3618,1
168385,True,3474,292344444,12145,13036,1
168391,True,853,125532655,21496,4538,1
168407,True,1795,201346955,10133,4717,1
168512,True,3477,292377042,9774,13042,1
168523,True,2532,265519384,15773,4723,1
168533,True,3475,292356589,10814,13038,1
168546,True,3476,292367403,9639,13040,1
168553,True,2533,265535157,5429,4725,1
168555,True,3478,292386816,10247,13044,1
169210,True,1729,199571683,19574,5611,1
169330,True,1730,199591257,5767,5615,1
169347,True,1731,199597024,5767,5617,1
169361,True,1732,199602791,2432,5619,1
169381,True,1733,199605223,2432,5621,1
169395,True,1734,199607655,9693,5623,1
169511,True,3462,292270271,7055,13052,1
169583,True,1926,206113988,19853,13048,1
169591,True,1933,206215373,9856,13050,1
169725,True,1862,204043364,3019,13078;13079;13080;13081;13404;13405;13546,7
169730,True,1843,203202016,41687,9078,1
169847,True,2434,262705212,11727,5648,1
169850,True,3435,292099925,3744,12786,1
170151,True,3455,292230358,3158,12782,1
170157,True,3485,292427468,3602,12768,1
170160,True,3486,292431070,6015,13054,1
170580,True,3775,322866863,24528,12224,1
170623,True,3432,292061543,4923,13056,1
170714,True,3469,292323998,3626,12784,1
170717,True,3434,292092473,7452,13058,1
170721,True,3430,292056485,3255,12788,1
170725,True,3431,292059740,1803,12790,1
171193,True,3441,292136024,5145,12766,1
171296,True,3482,292415006,3033,12770,1
171498,True,3439,292126970,6188,12776,1
171503,True,3436,292103669,7085,12773,1
171549,True,3483,292418039,1779,12780,1
171594,True,3470,292327624,5769,13060,1
171647,True,3471,292333393,2869,12792,1
171671,True,3472,292336262,5979,13046,1
171673,True,3473,292342241,2203,12778,1
171899,True,3625,312266751,261078,5755,1
172201,True,3440,292133158,2866,12794,1
172445,True,1883,204582833,64605,10324,1
172562,True,458,75114091,151890,5757,1
172608,True,3461,292261175,9096,11841,1
172639,True,3452,292204636,5067,12446,1
173245,True,345,72324135,22683,5763,1
173265,True,346,72346818,1189,5765,1
173288,True,304,66833490,271331,5767,1
173464,True,455,74395986,244757,5768,1
173763,True,162,44301009,1162,5776,1
173908,True,374,72706413,16463,5781,1
173973,True,379,72831409,16451,5784,1
173978,True,371,72600017,16445,5785,1
174146,True,3423,292012693,4200,12796,1
174156,True,3424,292016893,2474,12798,1
174383,True,416,73364182,975,5795,1
174420,True,351,72360835,1195,5794,1
174636,True,1179,181419877,7467,13957;13958;13959;13960;13961;13962;13963;13964;13965;15991,10
174995,True,3426,292023255,5551,13076,1
174999,True,3427,292028806,14521,13074,1
175002,True,3425,292019367,3888,12800,1
175059,True,3422,292006496,6197,12802,1
175131,True,1924,206063737,31959,13064,1
175144,True,1935,206239971,15163,13066,1
175156,True,1929,206163820,37752,13068,1
175323,True,1928,206143528,20292,13070,1
175355,True,1643,197285786,8138,12462,1
175357,True,1644,197293924,13783,12458,1
175364,True,1645,197307707,8887,12459;12460,2
175367,True,1646,197316594,5759,12461,1
175376,True,1934,206225229,14742,13062,1
175481,True,1937,206294501,18471,13072,1
175525,True,3453,292209703,16905,13026,1
175658,True,3454,292226608,3750,12448,1
175793,True,3437,292110754,9359,13028,1
176570,True,1925,206095696,18292,13030,1
176573,True,3421,292002130,4366,11856,1
176580,True,3448,292180006,3605,12444,1
176583,True,3492,292539784,4382,12442,1
176587,True,3468,292321629,2369,11858,1
176595,True,3484,292419818,7650,12440,1
178207,True,1891,205031650,65464,8938,1
179708,True,459,75265981,150736,1633,1
179961,True,1897,205357605,54655,10329,1
180305,True,415,73361970,2212,1638,1
180321,True,414,73338260,23710,1640,1
180588,True,3584,304203464,78329,11609,1
180747,True,1190,181564303,50016,1650,1
181191,True,2913,273827978,7842,1711,1
181936,True,2914,273835820,7865,2031,1
182024,True,2915,273843685,8367,2102,1
182048,True,2916,273852052,7842,2104,1
182081,True,2917,273859894,7865,2106,1
182100,True,2918,273867759,8367,2109,1
182275,True,2435,262716939,249600,2394,1
182327,True,2753,270395462,9489,2397,1
182351,True,2754,270404951,10597,2399,1
182369,True,2755,270415548,7211,2407,1
182447,True,1936,206255134,39367,13034,1
182456,True,1927,206133841,9687,13032,1
182588,True,3495,292558386,2212,11969,1
183293,True,1868,204086118,6386,2663,1
183328,True,1869,204092504,19716,2665,1
183359,True,1870,204112220,90825,2667,1
183385,True,1872,204332780,15007,2669,1
183411,True,1873,204347787,16400,2671,1
183540,True,3385,291472089,49310,2674,1
183920,True,3386,291521399,36834,2692,1
184015,True,2756,270422759,10671,2696,1
184911,True,1045,159862358,94550,7961,1
185022,True,382,72988300,124738,3218,1
185028,True,384,73114642,1538,3219,1
185029,True,385,73116180,1535,3220,1
185030,True,386,73117715,1538,3221,1
185031,True,387,73119253,1538,3222,1
185032,True,388,73120791,1538,3223,1
185033,True,389,73122329,1538,3225,1
185034,True,390,73123867,1538,3226,1
185150,True,406,73251990,8730,3230,1
185151,True,407,73260720,8680,3232,1
185152,True,408,73269400,8645,3231,1
185223,True,409,73278045,8645,3233,1
185501,True,391,73125405,4943,3238,1
185865,True,3761,322341218,92001,12231,1
186069,True,3749,321724363,49217,11888;11889;11890;11891;11892;11893;11894,7
186156,True,2999,277887412,42596,935,1
186315,True,2884,273147544,9046,3246,1
186448,True,3368,290548446,40431,3250,1
186480,True,2885,273156590,10526,3254,1
186702,True,2887,273191131,9444,3258,1
186733,True,2886,273167116,24015,3260,1
186795,True,2123,216381735,10013,409,1
188307,True,912,137849756,39435,512,1
188324,True,2789,271226868,14870,699,1
188328,True,2790,271241738,14704,712,1
188342,True,3795,323632547,14408,713,1
188356,True,2791,271256442,7775,740,1
188620,True,910,137816924,12182,793,1
188654,True,3650,315650078,11150,836,1
188681,True,911,137829106,20650,929,1
189544,True,812,118248338,117956,1070,1
189767,True,3074,280340557,54845,1126,1
189771,True,3075,280395402,77565,1130,1
189774,True,3076,280472967,57817,1132,1
189813,True,3218,285386647,73874,1173,1
189817,True,3219,285460521,73874,1182,1
189844,True,3339,289329466,60304,1481,1
189848,True,3340,289389770,60306,1497,1
189877,True,3183,284086208,43553,1501,1
189881,True,3184,284129761,38801,1502,1
189884,True,3185,284168562,34146,1503,1
189926,True,2502,264893187,16214,1523,1
189930,True,2503,264909401,18212,1543,1
189957,True,2769,270799126,5191,1670,1
189962,True,2770,270804317,5259,1797,1
189966,True,2771,270809576,5191,1885,1
190012,True,2782,271128779,10255,1935,1
190017,True,2783,271139034,7766,1941,1
190049,True,2836,272178880,23761,2185,1
190056,True,2837,272202641,36441,2186,1
190059,True,2838,272239082,19125,2187,1
190107,True,2864,272722779,15529,2200,1
190113,True,2865,272738308,15525,2253,1
190116,True,2866,272753833,15529,2363,1
190166,True,3154,283099593,34042,2449,1
190171,True,3155,283133635,37605,2957,1
190175,True,3156,283171240,24547,3031,1
190221,True,3376,290648617,53105,3252,1
190225,True,3377,290701722,52799,3253,1
190229,True,3378,290754521,28137,3262,1
190277,True,2478,264183309,54101,3270,1
190282,True,2479,264237410,148350,3271,1
190287,True,2480,264385760,51080,3273,1
190292,True,2481,264436840,25346,3274,1
190297,True,2482,264462186,18484,3275,1
190302,True,2483,264480670,15918,3276,1
190307,True,2484,264496588,10788,3279,1
190410,True,2489,264692656,8261,3285,1
190415,True,2490,264700917,14923,3286,1
190420,True,2491,264715840,28251,3287,1
190425,True,2492,264744091,14923,3289,1
190430,True,2493,264759014,8257,3290,1
190505,True,3212,285302102,9340,3294,1
190509,True,3213,285311442,9340,3295,1
190512,True,3214,285320782,9340,3296,1
190552,True,2564,266375121,6675,3298,1
190606,True,1772,200528758,17943,3300,1
190676,True,1773,200546701,17975,3302,1
190751,True,1771,200510795,17963,3304,1
190807,True,1725,199546434,6273,3306,1
190826,True,1726,199552707,5422,3308,1
190843,True,1727,199558129,3738,3310,1
190862,True,1728,199561867,9816,3312,1
190880,True,807,117748733,150987,3314,1
191379,True,3115,281355568,9266,3321,1
191417,True,211,56121962,19588,3323,1
191438,True,870,128971609,137478,3325,1
191462,True,811,118243726,4612,3327,1
191508,True,1776,200665450,32074,3331,1
191534,True,848,124769001,30143,3333,1
191557,True,830,121368284,16130,3335,1
191623,True,832,121400375,16130,3339,1
191644,True,829,121352154,16130,3341,1
191703,True,834,121433142,16130,3351,1
191726,True,2574,266481250,4479,3357,1
191729,True,2576,266492156,3363,3358,1
191755,True,2577,266495519,3987,2179;3362,2
191758,True,2579,266503298,6351,3363,1
191990,True,533,82316730,13914,338,1
192012,True,537,82386350,13818,352,1
192068,True,534,82330644,10372,955,1
192101,True,538,82400168,10472,1245,1
192148,True,819,119158011,103397,1452,1
192235,True,820,119261408,67708,1485,1
192319,True,530,82264770,17439,1693,1
192342,True,535,82341016,17237,1707,1
192391,True,531,82282209,27567,1710,1
192553,True,1790,201199117,29396,1728,1
192596,True,536,82358253,28097,1773,1
192638,True,532,82309776,6954,2041,1
192811,True,1759,200199861,47092,2206,1
192829,True,1737,199674788,46695,2271,1
192858,True,1959,207809162,53781,2634,1
192882,True,1960,207862943,53781,2635,1
192891,True,1961,207916724,120184,2636,1
192900,True,1962,208036908,120184,2637,1
192909,True,1963,208157092,59428,2638,1
192917,True,1965,208278218,19395,2639,1
192924,True,1966,208297613,34572,2640,1
192929,True,1967,208332185,59718,2641,1
193050,True,1964,208216520,61698,2643,1
193078,True,1751,200004955,26406,2273,1
193134,True,1679,198002036,30620,2645,1
193168,True,1738,199721483,32204,2647,1
193271,True,2523,265309420,22290,2815,1
193362,True,814,118484250,12042,2988,1
193391,True,1756,200130314,47640,3007,1
193595,True,1764,200306016,49169,3052,1
194013,True,1705,199025082,2969,3366,1
194060,True,1393,186509281,1096,3368,1
194771,True,1778,200700797,8793,1519,1
194800,True,1779,200709590,8757,1559,1
194804,True,1780,200718347,8773,1788,1
194808,True,1781,200727120,8749,1790,1
194812,True,1783,200745957,32305,3136,1
194815,True,1784,200778262,32245,3317,1
194818,True,1785,200810507,32305,3318,1
194821,True,1786,200842812,32213,3370,1
197703,True,1753,200078093,25552,3383,1
197725,True,1749,199953851,25552,3385,1
198031,True,1996,211675940,138782,3391,1
198032,True,1997,211814722,125771,3392,1
198033,True,1998,211940493,125579,3393,1
202233,True,913,137889191,81117,3400,1
203280,True,1973,208592094,118967,3427,1
203289,True,1974,208711061,118968,3428,1
203317,True,1975,208830029,118972,3429,1
203329,True,1980,209150205,134337,3430,1
203341,True,1981,209284542,150149,3431,1
203351,True,1982,209434691,162815,3432,1
203361,True,1983,209597506,164358,3433,1
203563,True,2751,270359265,8722,3436,1
204828,True,3581,303563617,412773,13750,1
205540,True,3590,305117036,29879,13715,1
205566,True,3579,303468198,15731,13721,1
205644,True,3516,292943290,72214,13723,1
205671,True,3568,301824668,107368,13717,1
205704,True,3571,302071987,54045,13718,1
205724,True,3577,303290117,72884,13720,1
205850,True,3591,305146915,50468,13724,1
205879,True,3570,302022927,49060,13740,1
206197,True,1992,210413939,480911,3404,1
206203,True,1993,210894850,397355,3410,1
206208,True,1994,211292205,231045,3412,1
207817,True,1991,210402297,11642,3559,1
208052,True,1984,209761864,137347,3631,1
208061,True,1985,209899211,148913,3633,1
208070,True,1986,210048124,149449,3634,1
208226,True,3612,307558566,110136,13725,1
208351,True,3543,297567205,264240,13746,1
209436,True,736,111592255,182819,3650,1
209586,True,3012,278181877,236533,3652,1
209928,True,839,122849576,64487,3662,1
209969,True,840,122914063,64487,3664,1
210004,True,841,122978550,64487,3666,1
210182,True,3077,280530784,68266,3670,1
210203,True,3117,281508136,25938,3700,1
210232,True,3118,281534074,59542,3728,1
211481,True,3078,280599050,68268,3762,1
212124,True,303,65426047,1407443,3440,1
215028,True,176,44906309,22281,4031,1
215059,True,177,44928590,22281,4033,1
215082,True,178,44950871,22281,4035,1
216667,True,2065,213702904,198344,4042,1
216909,True,2882,273119407,11528,4040,1
217060,True,2883,273130935,16609,4044,1
217103,True,2888,273200575,10234,4046,1
217350,True,1709,199160934,29097,8758;8759,2
218524,True,821,119329116,658002,4054,1
218757,True,781,116223520,57316,4057,1
219542,True,181,45044822,7327,4151,1
219564,True,182,45052149,103688,4153,1
219589,True,183,45155837,106337,4155,1
219618,True,433,73604162,1273,4312,1
219623,True,434,73605435,1273,4325,1
219626,True,435,73606708,1273,4343,1
219629,True,436,73607981,1273,4347,1
219632,True,425,73594115,1144,4169,1
219635,True,426,73595259,1144,4260,1
219638,True,427,73596403,1144,4276,1
219641,True,428,73597547,1144,4283,1
219644,True,429,73598691,1144,4284,1
219648,True,445,73621901,1147,4349,1
219650,True,446,73623048,1147,4350,1
219655,True,421,73588504,1144,4168,1
220223,True,1972,208558791,33303,4366,1
220248,True,1970,208413492,74983,4368,1
221002,True,437,73609254,1147,4615,1
221005,True,438,73610401,1147,4616,1
221008,True,439,73611548,1147,4617,1
221015,True,440,73612695,1147,4618,1
221017,True,447,73624195,1147,4528,1
221019,True,448,73625342,1147,4537,1
221021,True,449,73626489,1147,4606,1
221023,True,450,73627636,1147,4608,1
221409,True,2938,274457662,25049,4620,1
221464,True,2939,274482711,24855,4625,1
221465,True,2940,274507566,70293,4626,1
221466,True,2941,274577859,67711,4627,1
221467,True,2942,274645570,76271,4628,1
223494,True,231,59509168,1129,4637,1
223519,True,232,59510297,1129,4644,1
223534,True,233,59511426,948,4646,1
223549,True,234,59512374,1129,4648,1
223622,True,3503,292629666,17277,4650,1
223650,True,3504,292646943,17181,4654,1
223739,True,235,59513503,948,4656,1
223754,True,236,59514451,948,4658,1
223769,True,237,59515399,1129,4660,1
223784,True,238,59516528,1129,4662,1
223799,True,239,59517657,1129,4920,1
223802,True,240,59518786,1129,4674,1
223816,True,241,59519915,1129,4893,1
223831,True,242,59521044,948,4900,1
223848,True,243,59521992,948,4902,1
223863,True,244,59522940,1129,4904,1
223876,True,245,59524069,1129,4915,1
223891,True,246,59525198,1129,4917,1
223908,True,247,59526327,1129,4919,1
224274,True,1946,206541766,175122,4927,1
224302,True,1947,206716888,189040,4928,1
224312,True,1948,206905928,172278,4929,1
224320,True,1949,207078206,202968,4930,1
224512,True,1971,208488475,70316,4933,1
227193,True,1952,207382843,83031,4939,1
227218,True,1953,207465874,83515,4941,1
227334,True,1954,207549389,84039,4944,1
227811,True,1950,207281174,52281,4947,1
227821,True,1951,207333455,49388,4949,1
229462,True,3252,287341251,2786,4957,1
229469,True,3253,287344037,2786,4958,1
229649,True,3254,287346823,2690,5010,1
229655,True,3255,287349513,2690,5011,1
229658,True,3083,280850794,2690,4965,1
229666,True,3084,280853484,2690,5009,1
238039,True,1885,204696016,86287,10326,1
238492,True,1321,185068431,3690,13851;12686,2
238500,True,1860,203946833,42756,12628,1
238529,True,1834,202772814,69488,9176,1
238570,True,1854,203671529,49335,12185;12186,2
238702,True,1322,185072121,32646,13838,1
239245,True,1323,185104767,15270,13841,1
239249,True,1324,185120037,10032,12685,1
239252,True,1328,185169902,4382,13844,1
239256,True,1332,185231439,3826,13848;12681,2
239259,True,1238,183544634,7594,13989,1
239260,True,1242,183572602,7782,13990,1
239263,True,1245,183596704,6566,13991,1
239282,True,1240,183560278,5590,13988,1
239338,True,1241,183565868,6734,14014,1
239341,True,1239,183552228,8050,14015,1
239344,True,1243,183580384,10646,14016,1
239347,True,1244,183591030,5674,14017,1
240121,True,1333,185235265,7090,12682,1
240310,True,1334,185242355,6462,13843,1
240314,True,1335,185248817,6766,13847;12684,2
240317,True,1336,185255583,21650,13850,1
240324,True,1337,185277233,16166,13839,1
240327,True,1338,185293399,3478,13846;12679,2
240332,True,1339,185296877,7058,13840,1
240338,True,1340,185303935,2999,13845;12677,2
240343,True,1341,185306934,11922,13842,1
240347,True,1342,185318856,5182,12678,1
240352,True,1343,185324038,3470,13849;12683,2
240383,True,1303,184753876,21682,12734,1
240404,True,1304,184775558,9644,12838;12746;12698,3
240411,True,1305,184785202,9826,12742;12694,2
240416,True,1306,184795028,20428,12741,1
240419,True,1307,184815456,15682,12737;12695,2
240422,True,1310,184855668,5988,12699,1
240751,True,1349,185413672,15655,13855,1
240761,True,1350,185429327,19330,13862,1
240772,True,1680,198032656,43936,5874,1
241652,True,1857,203886826,21915,11872;11873;11874,3
241657,True,1850,203435500,47865,11876;11877,2
241691,True,1351,185448657,8781,13871;13861,2
241721,True,1352,185457438,22206,13865,1
241724,True,1353,185479644,20269,13856,1
241742,True,1260,184061523,4567,13853,1
241756,True,1261,184066090,9736,13854,1
245902,True,1354,185499913,15262,13866,1
245945,True,1355,185515175,20911,13867;13857,2
245966,True,1356,185536086,9152,13868,1
245996,True,1357,185545238,13854,13869,1
246009,True,1358,185559092,10175,13858,1
246019,True,1308,184831138,22506,12743;12692,2
246023,True,1309,184853644,2024,12739;12691,2
246026,True,1318,185028834,18607,12736;12693,2
246042,True,1311,184861656,15178,12738,1
246050,True,1312,184876834,19376,12735,1
246057,True,1313,184896210,11524,12700,1
246065,True,1314,184907734,15084,12745;12690,2
246069,True,1315,184922818,19733,12836;12740,2
246081,True,1316,184942551,17708,12689,1
246084,True,1319,185047441,12607,12696,1
246089,True,1320,185060048,8383,12834;12744;12697,3
246445,True,1282,184387518,4754,12724;12706,2
246453,True,1283,184392272,15074,12722,1
246458,True,1284,184407346,11910,12721,1
246465,True,1287,184474939,7186,12731;12713,2
246468,True,1290,184529991,8330,12725;12712,2
246470,True,1844,203243703,41687,9079,1
246497,True,1291,184538321,21049,12726;12708,2
246500,True,1292,184559370,13562,12732;12709,2
246505,True,1293,184572932,6694,12730;12714,2
246508,True,1294,184579626,25034,12719,1
246519,True,1296,184611888,26500,12729;12715,2
246524,True,1297,184638388,17780,12705,1
246532,True,1298,184656168,10606,12723,1
246535,True,1299,184666774,2070,12711,1
246538,True,1301,184683082,23460,12718,1
246548,True,1300,184668844,14238,12727;12710,2
246642,True,1345,185345721,19303,13859,1
246658,True,1346,185365024,19617,13863,1
246693,True,1347,185384641,16225,13860,1
246702,True,1262,184075826,17000,13874,1
246708,True,1263,184092826,10132,13875,1
246711,True,1264,184102958,20694,13873,1
246761,True,1265,184123652,15706,13876,1
246766,True,1266,184139358,8740,13877,1
246771,True,1267,184148098,13356,13878,1
246774,True,1268,184161454,24486,13879,1
246784,True,1269,184185940,14218,13880,1
246791,True,1270,184200158,17910,13881,1
246804,True,1271,184218068,11086,13870,1
246809,True,1272,184229154,22198,13890,1
246812,True,1273,184251352,8900,13872,1
246817,True,1274,184260252,20882,13889,1
246822,True,1275,184281134,10312,13882,1
246828,True,1276,184291446,9778,13883,1
246833,True,1277,184301224,18524,13884,1
246836,True,1278,184319748,8886,13891;13937,2
246839,True,1279,184328634,8088,13885,1
246842,True,1280,184336722,39352,13886,1
246845,True,1281,184376074,11444,13892;13939,2
247785,True,1285,184419256,9464,12720,1
247788,True,1295,184604660,7228,12728;12707,2
252919,True,1851,203483365,53615,12229,1
254734,True,1235,183506579,4729,13813;13816,2
254759,True,1234,183501833,4746,13812;13815,2
255896,True,301,65215132,48606,6131,1
258090,True,1236,183511308,5365,13814;13817,2
258418,True,365,72485520,22619,6144,1
258430,True,366,72508139,1124,6145,1
259540,True,3674,315922717,5880,15321,1
260149,True,3671,315896193,4923,12005,1
260704,True,2108,215443815,5047,12006,1
261773,True,3685,316321180,3329,15322,1
262025,True,3000,277930008,10520,6168,1
262056,True,3001,277940528,7548,6169,1
265890,True,1888,204864463,44059,15439,1
266450,True,158,44292430,2392,6189,1
266861,True,159,44294822,2392,6193,1
266865,True,157,44290038,2392,6194,1
268807,True,3708,317780630,100144,12002,1
269529,True,160,44297214,2626,6202,1
269591,True,815,118496292,97463,6204,1
275363,True,270,60845593,110725,330,1
275418,True,293,63560010,52505,437,1
275544,True,295,63658898,42027,444,1
275609,True,266,60419986,94975,448,1
277328,True,471,75912543,46214,1143,1
277451,True,473,76018124,31214,1382,1
277499,True,475,76085143,111626,1386,1
277737,True,755,113190761,13936,1391,1
277804,True,737,111775074,183076,1396,1
278165,True,1720,199432061,58706,1846,1
278453,True,223,57837584,99303,2249,1
278534,True,227,58565318,315916,2360,1
279182,True,1180,181427344,10606,13967,1
279184,True,1182,181450400,12450,13969;13987,2
279191,True,1181,181437950,12450,13968;13986,2
279193,True,1183,181462850,12896,13970,1
279194,True,1185,181488630,12454,13972,1
279195,True,1184,181475746,12884,13971,1
279196,True,1186,181501084,12884,13973,1
279198,True,1187,181513968,12892,13974,1
279199,True,1188,181526860,12885,13975,1
279200,True,1189,181539745,24558,13976,1
280542,True,1750,199979403,25552,3140,1
280677,True,1256,183949995,23001,14079,1
280687,True,1257,183972996,24633,14080,1
280746,True,1755,200104762,25552,3277,1
280868,True,1754,200103645,1117,3342,1
281104,True,1739,199753687,14745,3348,1
281718,True,1758,200198295,1566,3557,1
282821,True,3116,281364834,143302,3579,1
283118,True,1763,200280536,25480,3583,1
283475,True,1892,205097114,19988,10322,1
284165,True,322,67535138,2625,3599,1
284176,True,264,60271107,53095,3597,1
284178,True,319,67526711,2809,3600,1
284205,True,320,67529520,2809,3601,1
284225,True,321,67532329,2809,3606,1
284430,True,1766,200409585,26136,3617,1
284456,True,1768,200457623,21412,3619,1
284468,True,1769,200479035,21412,3620,1
285842,True,780,116086866,136654,2440,1
285937,True,1716,199359277,39313,2918,1
286526,True,1740,199768432,25552,3739,1
287473,True,1672,197704092,16231,3767,1
288531,True,1761,200268989,10348,3795,1
289283,True,1770,200500447,10348,3798,1
291482,True,3172,283876532,19554,4199,1
291488,True,3173,283896086,19556,4200,1
291600,True,3089,281020272,46475,4262,1
291608,True,3090,281066747,47187,4263,1
291667,True,3174,283915642,40526,4266,1
291672,True,3175,283956168,40524,4267,1
291724,True,3316,288669563,12343,4319,1
291733,True,3317,288681906,12343,4320,1
291737,True,3318,288694249,12345,4321,1
291785,True,3193,284583089,59394,4328,1
291790,True,3194,284642483,59394,4329,1
292167,True,248,59527456,1129,4356,1
292169,True,249,59528585,1129,4357,1
292173,True,250,59529714,1129,4358,1
292175,True,251,59530843,1129,4359,1
292177,True,252,59531972,1129,4360,1
292179,True,253,59533101,1129,4361,1
292181,True,254,59534230,1129,4362,1
292183,True,255,59535359,1129,4363,1
292185,True,256,59536488,1129,4364,1
292187,True,257,59537617,1129,4376,1
292189,True,258,59538746,1129,4377,1
293359,True,1762,200279337,1199,4379,1
295805,True,3359,290256062,84660,4389,1
295822,True,3360,290340722,83846,4391,1
295874,True,3072,280172203,78462,4463,1
295879,True,3073,280250665,89892,4464,1
295932,True,3327,288864083,103445,4473,1
295937,True,3328,288967528,103445,4476,1
295984,True,3329,289070973,93608,4490,1
296003,True,3354,289680829,226933,4469,1
296222,True,2848,272465663,14387,4382,1
296225,True,2849,272480050,14387,4383,1
296228,True,2850,272494437,14081,4387,1
296288,True,2855,272573745,10062,4504,1
296297,True,2856,272583807,10064,4505,1
296370,True,2633,266677804,3144,4390,1
296445,True,224,57936887,108876,4508,1
296490,True,2998,277827863,59549,4511,1
296508,True,3510,292670177,22819,4512,1
296720,True,2806,271549304,8198,4514,1
296737,True,2807,271557502,6310,4516,1
296755,True,2890,273220143,24083,4518,1
296773,True,2891,273244226,24081,4520,1
297120,True,367,72509263,1829,4699,1
297139,True,2504,264927613,5900,4731,1
297170,True,392,73130348,21594,4908,1
297328,True,3351,289662472,5407,4465,1
297336,True,3352,289667879,5407,4466,1
297339,True,3353,289673286,7543,4486,1
297382,True,2800,271416715,17153,5152,1
297389,True,2801,271433868,17149,5155,1
297720,True,3081,280834970,7646,5272,1
297726,True,393,73151942,1117,5269,1
297728,True,2757,270433430,31960,5270,1
297734,True,2758,270465390,31960,5271,1
297742,True,3082,280842616,8178,5273,1
298024,True,375,72722876,13200,5322,1
298331,True,376,72736076,1311,5341,1
298441,True,2809,271574234,19948,5344,1
298595,True,3319,288706594,6765,5411,1
298599,True,3246,287114082,6763,5413,1
