writer_va,function_va,instruction,source_register_value,receiver_provenance,classification
0x004DB5A4,0x004DB4A0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004DC920,0x004DC850,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x004DC9EA,0x004DC9B0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004DD2BE,0x004DD250,"mov dword ptr [esi + 0x30], ebx",ebx,"other-class this (vtable 0x00A7CBF4, .?AVArkMapUI@@)",REJECTED_ALIAS
0x004DD41E,0x004DD3F0,"add dword ptr [esi + 0x30], -4",-4,unknown,POSSIBLE_ALIAS
0x004DD503,0x004DD460,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004DD91A,0x004DD8A0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x004DDAE9,0x004DDA30,"mov dword ptr [esp + 0x30], 0x5dc7",0x5dc7,stack slot (esp+0x30),REJECTED_ALIAS
0x004DEBC0,0x004DEAF0,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x004DEBC9,0x004DEAF0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004DF0FB,0x004DF070,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x004DF411,0x004DF3D0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004DF41D,0x004DF3D0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004E1F40,0x004E1EE0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004E2C1D,0x004E2BE0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004E2C9E,0x004E2BE0,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x004E3369,0x004E2FF0,"mov dword ptr [esp + 0x30], ebp",ebp,stack slot (esp+0x30),REJECTED_ALIAS
0x004E33C2,0x004E2FF0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004E4AF6,0x004E4A40,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x004E4BE5,0x004E4A40,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004E5D01,0x004E5C90,"mov dword ptr [edi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E5EF8,0x004E5E70,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x004E6080,0x004E5E70,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x004E69D7,0x004E68A0,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x004E69E8,0x004E68A0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004E759F,0x004E74E0,"mov dword ptr [esi + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x004E76A3,0x004E75F0,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E77BC,0x004E7760,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E783C,0x004E77E0,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E791E,0x004E7860,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E7B26,0x004E7A60,"mov dword ptr [esi + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x004E7C7C,0x004E7C20,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E7D6C,0x004E7D10,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E7FC5,0x004E7F70,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E8045,0x004E7FF0,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E8136,0x004E8070,"mov dword ptr [esi + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x004E8547,0x004E84D0,"mov dword ptr [esi + 0x30], ecx",ecx,stack,REJECTED_ALIAS
0x004E85BC,0x004E8560,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E863C,0x004E85E0,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E87B5,0x004E8740,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E88B5,0x004E8840,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E94A0,0x004E9440,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E9552,0x004E94F0,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E9882,0x004E9820,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E99B2,0x004E9950,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E9BB2,0x004E9BA0,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x004E9C52,0x004E9BF0,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E9CEC,0x004E9C90,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E9DBC,0x004E9D60,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x004E9E98,0x004E9E30,"mov dword ptr [edi + 0x30], ecx",ecx,stack,REJECTED_ALIAS
0x004E9F8C,0x004E9EF0,"mov dword ptr [esi + 0x30], ecx",ecx,stack,REJECTED_ALIAS
0x004EC364,0x004EC2E0,"mov byte ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x004EC406,0x004EC3D0,"mov dword ptr [esi + 0x30], edi",edi,unknown,POSSIBLE_ALIAS
0x004ED1D2,0x004ED1A0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004EDAB4,0x004EDA60,"mov dword ptr [esi + 0x30], ebx",ebx,"other-class this (vtable 0x00A7CE5C, .?AVArkConstructUI@@)",REJECTED_ALIAS
0x004EE205,0x004EDE80,"mov dword ptr [esi + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x004EE4A7,0x004EDE80,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x004EE568,0x004EDE80,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x004EEE08,0x004EEDD0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004EEF5C,0x004EEF10,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x004EF2A2,0x004EF270,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x004F008D,0x004EFCF0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004F02B7,0x004EFCF0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004F06BC,0x004F0690,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x004F0EF2,0x004F0E90,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004F0FF2,0x004F0F90,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004F1356,0x004F1030,"and dword ptr [esp + 0x30], 0xfffffffd",0xfffffffd,stack slot (esp+0x30),REJECTED_ALIAS
0x004F1A59,0x004F1900,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x004F1A71,0x004F1900,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004F1A8F,0x004F1900,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x004F27D9,0x004F2630,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x004F291B,0x004F2890,"mov dword ptr [esp + 0x30], esp",esp,stack slot (esp+0x30),REJECTED_ALIAS
0x004F2BE4,0x004F2B80,"mov dword ptr [esp + 0x30], 4",4,stack slot (esp+0x30),REJECTED_ALIAS
0x004F3229,0x004F31D0,"mov dword ptr [esi + 0x30], ebx",ebx,"other-class this (vtable 0x00A7CF1C, .?AVArkRefineUI@@)",REJECTED_ALIAS
0x004F41F0,0x004F41A0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x004F42B0,0x004F4260,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x004F4932,0x004F4910,"mov dword ptr [esi + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x004F4AE0,0x004F4910,"mov dword ptr [esp + 0x30], 0x4f3da0",0x4f3da0,stack slot (esp+0x30),REJECTED_ALIAS
0x004F5140,0x004F50F0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x004F51D0,0x004F50F0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004F6F8C,0x004F6F00,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004F8AA6,0x004F8950,"mov dword ptr [esp + 0x30], ebp",ebp,stack slot (esp+0x30),REJECTED_ALIAS
0x004F8EB6,0x004F8E10,"mov byte ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x004F8EDB,0x004F8E10,"mov byte ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x004F965E,0x004F9600,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004F9673,0x004F9600,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x004F972C,0x004F96D0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004F97CC,0x004F9790,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x004F98F0,0x004F9880,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004F9A90,0x004F9A20,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004F9C30,0x004F9BC0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004F9CD2,0x004F9C70,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004FA0B0,0x004FA040,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004FA160,0x004FA0F0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004FA82B,0x004FA770,"mov dword ptr [esp + 0x30], ebp",ebp,stack slot (esp+0x30),REJECTED_ALIAS
0x004FB194,0x004FB090,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x004FB5C4,0x004FB450,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x004FB619,0x004FB450,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x004FB89A,0x004FB6E0,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x004FBE28,0x004FBDF0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004FC5EB,0x004FC5C0,"mov dword ptr [eax + 0x30], ecx",ecx,unknown,POSSIBLE_ALIAS
0x004FC6D8,0x004FC600,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004FC77D,0x004FC600,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x004FD3A6,0x004FD340,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004FD446,0x004FD3E0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x004FEE21,0x004FED50,"mov dword ptr [esi + 0x30], ebx",ebx,unknown,POSSIBLE_ALIAS
0x004FF07B,0x004FEE40,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x004FF2B4,0x004FF1F0,"mov dword ptr [esi + 0x30], ebx",ebx,unknown,POSSIBLE_ALIAS
0x004FF49B,0x004FF430,"mov dword ptr [esp + 0x30], ebp",ebp,stack slot (esp+0x30),REJECTED_ALIAS
0x004FFD9E,0x004FFC90,"mov dword ptr [esp + 0x30], 0xcf",0xcf,stack slot (esp+0x30),REJECTED_ALIAS
0x00500260,0x005001F0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x00500310,0x005002A0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x005004BA,0x00500410,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x005004C9,0x00500410,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x005005B0,0x00500540,"mov dword ptr [esp + 0x30], ebp",ebp,stack slot (esp+0x30),REJECTED_ALIAS
0x00500B7B,0x00500AF0,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x00500F8A,0x00500E30,"mov dword ptr [esp + 0x30], 2",2,stack slot (esp+0x30),REJECTED_ALIAS
0x00501875,0x00501800,"mov dword ptr [edi + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x00501FAC,0x00501F50,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x005020A7,0x00501FE0,"mov dword ptr [esi + 0x30], ecx",ecx,unknown,POSSIBLE_ALIAS
0x00502204,0x00502190,"mov dword ptr [esi + 0x30], eax",eax,stack,REJECTED_ALIAS
0x0050227C,0x00502220,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x005022FC,0x005022A0,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x00502402,0x00502330,"mov dword ptr [esi + 0x30], ecx",ecx,unknown,POSSIBLE_ALIAS
0x0050262D,0x005025F0,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x005026B6,0x005025F0,"mov dword ptr [esi + 0x30], ecx",ecx,stack,REJECTED_ALIAS
0x0050276C,0x00502710,"mov dword ptr [esi + 0x30], edx",edx,unknown,POSSIBLE_ALIAS
0x00502800,0x00502790,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x005029D0,0x00502960,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x005036B0,0x00503650,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x00503808,0x005037B0,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x005038E0,0x00503880,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x005039AC,0x00503930,"mov dword ptr [edi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x00503A68,0x00503A10,"mov dword ptr [esi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x00503B41,0x00503AE0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x00503BEC,0x00503B70,"mov dword ptr [edi + 0x30], edx",edx,stack,REJECTED_ALIAS
0x00503CB4,0x00503C50,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x005040C3,0x00503F40,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x00504253,0x005041C0,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x00504292,0x005041C0,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x00504426,0x005041C0,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x0050503B,0x00504FD0,"mov byte ptr [esp + 0x30], bl",bl,stack slot (esp+0x30),REJECTED_ALIAS
0x00505122,0x00504FD0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0050529A,0x00505210,"mov dword ptr [esp + 0x30], ebp",ebp,stack slot (esp+0x30),REJECTED_ALIAS
0x005052F2,0x00505210,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x00505415,0x005053C0,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x0050544D,0x005053C0,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x005055EA,0x005055A0,"mov dword ptr [esp + 0x30], 0x80",0x80,stack slot (esp+0x30),REJECTED_ALIAS
0x00505DB6,0x00505D10,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x00505F30,0x00505EB0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x005060D5,0x00506030,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x005070E2,0x005070B0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x005072CA,0x00507260,"mov dword ptr [esp + 0x30], esp",esp,stack slot (esp+0x30),REJECTED_ALIAS
0x005077AB,0x00507720,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x005084A0,0x00508420,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x00508754,0x00508730,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x00508A16,0x005089B0,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x00508A43,0x005089B0,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x00508AF4,0x00508A90,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x00508B21,0x00508A90,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x00508D70,0x00508D60,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x00508E65,0x00508E00,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x00508EDE,0x00508EA0,"mov dword ptr [esp + 0x30], esp",esp,stack slot (esp+0x30),REJECTED_ALIAS
0x005093C3,0x00509330,"mov dword ptr [ebp + 0x30], eax",eax,"SF-this (register ebp, 0x00509357 mov ebp,ecx; 0x00509366 mov [ebp],0xa7d458)",PROVEN_SF30_WRITER
0x0050A2D1,0x0050A240,"mov dword ptr [esi + 0x30], ebx",ebx,"SF-this (register esi, 0x0050A263 mov esi,ecx; 0x0050A269 mov [esi],0xa7d458)",PROVEN_SF30_WRITER
0x0050B1FB,0x0050B1D0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B247,0x0050B1D0,"mov byte ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B296,0x0050B1D0,"mov byte ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B2B0,0x0050B1D0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B2D9,0x0050B1D0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B3C3,0x0050B370,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B40B,0x0050B370,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B4D3,0x0050B480,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B51B,0x0050B480,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050B9DC,0x0050B960,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x0050BAA4,0x0050BA30,"mov byte ptr [esp + 0x30], bl",bl,stack slot (esp+0x30),REJECTED_ALIAS
0x0050BAB8,0x0050BA30,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050CEE4,0x0050CD10,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x0050D0D5,0x0050CD10,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x0050D0E1,0x0050CD10,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0050D118,0x0050CD10,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x0050D14D,0x0050CD10,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x0050D17C,0x0050CD10,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x0050D4CD,0x0050D480,"mov dword ptr [esp + 0x30], edi",edi,stack slot (esp+0x30),REJECTED_ALIAS
0x0050D9B3,0x0050D970,"mov dword ptr [esp + 0x30], esp",esp,stack slot (esp+0x30),REJECTED_ALIAS
0x0050DB10,0x0050DAD0,"mov dword ptr [esp + 0x30], esp",esp,stack slot (esp+0x30),REJECTED_ALIAS
0x0050E143,0x0050E0C0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0050E380,0x0050E310,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0050E3F2,0x0050E3C0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x005101DA,0x00510130,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0051075C,0x005106A0,"mov byte ptr [esp + 0x30], cl",cl,stack slot (esp+0x30),REJECTED_ALIAS
0x00510BAA,0x00510AF0,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x00513649,0x005135C0,"mov dword ptr [esp + 0x30], 0xb8",0xb8,stack slot (esp+0x30),REJECTED_ALIAS
0x005140C2,0x00513F60,"mov dword ptr [esp + 0x30], 0xa7d7cc",0xa7d7cc,stack slot (esp+0x30),REJECTED_ALIAS
0x005146F7,0x005146B0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x00515561,0x00514EF0,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x00515AF8,0x005158C0,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x00515F97,0x00515F80,"mov dword ptr [ecx + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x00519690,0x005194F0,"mov dword ptr [esp + 0x30], edx",edx,stack slot (esp+0x30),REJECTED_ALIAS
0x0051A8F3,0x0051A510,"mov dword ptr [esi + 0x30], eax",eax,unknown,POSSIBLE_ALIAS
0x0051BE86,0x0051BB60,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x0051C28A,0x0051BFB0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0051C5D4,0x0051BFB0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0051C9F6,0x0051C6E0,"mov dword ptr [esp + 0x30], esi",esi,stack slot (esp+0x30),REJECTED_ALIAS
0x0051E1D8,0x0051E1C0,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0051F5EE,0x0051F340,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x0051F78C,0x0051F750,"mov dword ptr [esp + 0x30], ecx",ecx,stack slot (esp+0x30),REJECTED_ALIAS
0x0051F8C2,0x0051F860,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0051FC6B,0x0051F900,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x005200CD,0x0051FDC0,"mov dword ptr [esp + 0x30], ebx",ebx,stack slot (esp+0x30),REJECTED_ALIAS
0x005233D3,0x00523000,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0052517E,0x00524F50,"mov dword ptr [esp + 0x30], ebp",ebp,stack slot (esp+0x30),REJECTED_ALIAS
0x005251EA,0x00524F50,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x005254C3,0x00525480,"mov dword ptr [esp + 0x30], eax",eax,stack slot (esp+0x30),REJECTED_ALIAS
0x0052AC27,0x0052ABD0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x0052AC3B,0x0052ABD0,"mov byte ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x0052AC6E,0x0052ABD0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0052AD14,0x0052ACC0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
0x0052AD28,0x0052ACC0,"mov byte ptr [esp + 0x30], 1",1,stack slot (esp+0x30),REJECTED_ALIAS
0x0052AD5B,0x0052ACC0,"mov dword ptr [esp + 0x30], 0xffffffff",0xffffffff,stack slot (esp+0x30),REJECTED_ALIAS
0x0052AE10,0x0052ADB0,"mov dword ptr [esp + 0x30], 0",0,stack slot (esp+0x30),REJECTED_ALIAS
